,sentiment,label
0,PARAHNYA DIKASI TEPUK TANGAN LAGI BOS,0.0
1,Hai Berjumpa lagi dengan KontraS yang akan kembali nyicil membahas Laporan Evaluasi 4 Tahun Kinerja Pemerintahan,1.0
2,Bohong lagi bohong lagi Mikrofon dimatikan dulu dong P LBP,0.0
3,Prawobo sentil Jokowi Ugal2an Lalu Bung Adian membalas bukan sentilan tapi pukulan telak ke Prabowo Pemerintahan yg ug,0.0
4,Jokowi dibilang ugal2an jadi yg membangun infrastruktur bagi2 sertifikat lapangan kerja pembangkit listrik jalan tol be,0.0
5,Jika saya dapat membuktikan keputusan pemerintah terkait takeover saham mayority freeport yg dilakukan sekarang adalah tind,1.0
6,lacak Sdh Kubilang Dari AWAL Demokrat PKS amp PAN FOKUS pd PILLEG ketimbang PILPRES Mereka tdk ingin kehilangan Wakilnya di,0.0
7,Hampir genap empat tahun pemerintah mencatatkan total utang mencapai Rp4 4 6 triliun naik sekitar Rp 8 5 triliun dari pos,0.0
8,jokowi Siapa pun Cawapres intinya Jokowi harus 2 periode,1.0
9,2 9jokowilanjut,1.0
10,2 9TetapJokowi,1.0
11,TV TV mah tv bencong,0.0
12,Sejak menjabat Anies satu per satu janji dipenuhi Jokowi satu per satu janji diingkari Pergub OK OCE Diteken Anies Bu,0.0
13,Jokowi dan Greenpeace Bagaimana Industri Dihancurkan Kalimantan Berita,0.0
14,Ssstt Ssstt HATTRICK,0.0
15,RS dipecat dari Timses Prabowo Sandi negara tidak ada kerugian digoreng terus menerus ST,0.0
16,Pidato diketikin twit fb di ketikin trus apa yg original dr presiden kita selain kuis nama2 ikan,0.0
17,Kami gt Ex VIJ siap mengawal dgn segala kompetensi dan pengalaman kami saatJamkesmas Terbukti 2 8 2 9 t,1.0
18,Jujur gw bingung Gereja disegel Vihara dibongkar Non muslim ditindas Tradisi amp budaya nusantara dihabisi,0.0
19,Mang haus pujian giliran dikritik ga mau kerjaan CS atau AO dikerjakan presiden kebangetan,0.0
20,tergerus itu TEKOR kan,0.0
21,Kala BPJS defisit menteri apa yg harus tanggung jawab Ngga ada BPJS langsung di bawah Presiden Kenapa Presiden,0.0
22,Jokowi KEOK Percayalah,0.0
23,Emang yakin kalau menang akan lebih baik Dan membawa dampak positif Atau kalau menang ekonomi,1.0
24,Blunder sendiri jadi boomerang Mungkin doi ga kepikir sampe sejauh itu sekolam,1.0
25,Bawaslu Duga Jokowi Maruf Curi Start Kampanye di Media Cetak,0.0
26,Jokowi Tinjau Pembangunan Rumah Tahan Gempa di Sumbawa Barat NTB,1.0
27,2 9TetapJokowi,1.0
28,gundi Ya Allah pak 4 9 T itu buat 2 3 juta peserta bpjs kesehatan bapak koq heran itu artinya masing2 cm dpt 24 rban rupia,0.0
29,Di Sumbawa saya saksikan bantuan pemerintah untuk korban gempa sudah gampang diuangkan Jangan lupa yang rusak di NTB ini t,0.0
30,Sdr Presiden Anda bilang urusan defisit BPJS sampai ke Presiden kebangetan Anda Presiden sudah baca UU BPJS Pasal,0.0
31,TIMSES JOKOWI MINTA SUMBANGAN KE TAIPAN2 YG PUNYA UANG TDK ADA SUMBANGAN TANPA BALAS BUDI DGN MENJUAL RAKYAT PAK,0.0
32,Kata Jokowi di TV mestinya adu program adu ide etc Apanya yg diadu Sebab 66 program pilpres 2 4 mangkrak Mau yg mangk,0.0
33,Kita ingin selama proses kampanye menuju Pilpres 2 9 berjalan dengan damai menjunjung tinggi persatuan dan keberagaman Say,1.0
34,Haean Utang yang menggunung ini semakin membuat pemerintahan pak dianggap sukses oleh para pendukungnya Sukses jg,0.0
35,Beredar Iklan Pasangan Jokowi Ma ruf di Koran KPU Itu Pelanggaran,0.0
36,Pesan dari Mas Kepada pendukung Pak Jokowi Jangan bawa bawa latar belakang keluarga capres meskipun ki,1.0
37,Memilih Jokowi sebagai pemimpin dengan alasan tak ingin Prabowo berkuasa adalah hal paling menyedihkan yg pernah gw dengar I,0.0
38,Jokowi itu manager Do the things right melakukan sesuatu yang benar Prabowo itu leader Do the right things melakukan,0.0
39,politik Sibuk Bahas Jilbab Neneng Detikcom DISIKAT Warganet Niat Banget Busukin Islam Kok Gak Bahas Bahwa Dia Timses Jokowi,0.0
40,Nah loh BPK Beberkan Salah Urus Impor Pangan Era Jokowi Rizal Ramli sudah Ingatkan,0.0
41,Ini logika yg merusak pak karena nyalahin padahal maksudnya nenbak gubernur DKI sebelumnya kan Waspada,0.0
42,st Jokowi bisa jadi cuma ingin BPJS memutar otak lbh keras agar tdk terus rugi Tp prnyataan Jokowi klau mlsh sharusnya slesai di,1.0
43,Ngawur berat JK Selama 32 tahun pertumbuhan rata2 adalah 73 Jelas makmur Selama 4 thn Jokowi rata2 pertumbuhan 5 turun,0.0
44,Stone Kardol Aamiin ya rabbal alamin,1.0
45,Tigor Pernyataan siRomlah ini sebenarnya menampol Capresnya sendiri Padahal Jokowi yg duluan melompat kePresiden sblm jabatan,0.0
46,Luhut Minta Pengkritik Jokowi Jangan BERBOHONG,1.0
47,2 9TetapJokowi,1.0
48,2 9JokowiMarufAmin,1.0
49,Prabowo unggul lagi dimana pendukung Jokowi Alhamdulillah pendukung Jokowi sudah pada pindah haluan sudah banyak yang s,0.0
50,Jokowi periksa got gt pencitraan Jokowi periksa irigasi gt pencitraan Jokowi bincang dgn petani gt pencitraan Sandi,0.0
51,APA KATA PEMIMPIN DUNIA Tentang PM AUSTRALIA TONNY ABBOT Dibawah kepemimpinan Joko Widodo Kekuatan Mili,1.0
